a52dec 0.7.4-11
kcrash 5.73.0-1
kdbusaddons 5.73.0-1
kded 5.73.0-1
keyutils 1.6.3-1
kglobalaccel 5.73.0-1
kguiaddons 5.73.0-1
ki18n 5.73.0-1
kiconthemes 5.73.0-1
kio 5.73.0-1
kitemmodels 5.73.0-1
kitemviews 5.73.0-1
kitty 0.18.3-1
kitty-terminfo 0.18.3-1
kjobwidgets 5.73.0-1
kmod 27-1
knotifications 5.73.0-1
kparts 5.73.0-1
kpty 5.73.0-1
krb5 1.18.2-1
kservice 5.73.0-1
ktextwidgets 5.73.0-1
kwallet 5.73.0-1
kwidgetsaddons 5.73.0-1
kwindowsystem 5.73.0-1
kxmlgui 5.73.0-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.11-2
ldns 1.7.1-2
less 551-3
lib32-alsa-lib 1.2.3.2-1
lib32-alsa-plugins 1.2.2-1
lib32-bzip2 1.0.8-2
lib32-expat 2.2.9-1
lib32-gcc-libs 10.1.0-2
lib32-glibc 2.31-5
lib32-icu 67.1-1
lib32-libdrm 2.4.102-1
lib32-libelf 0.180-1
lib32-libffi 3.3-2
lib32-libglvnd 1.3.2-1
lib32-libgpg-error 1.38-1
lib32-libpciaccess 0.16-1
lib32-libtasn1 4.16.0-1
lib32-libunwind 1.3.1-1
lib32-libx11 1.6.10-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 5.0.3-2
lib32-libxml2 2.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 10.0.1-1
lib32-lm_sensors 3.6.0-1
lib32-lz4 1.9.2-1
lib32-mesa 20.1.5-1
lib32-ncurses 6.2-1
lib32-nspr 4.27-1
lib32-nss 3.55-2
lib32-nvidia-utils 450.57-1
lib32-p11-kit 0.23.20-4
lib32-readline 8.0.0-1
lib32-sqlite 3.32.3-1
lib32-vulkan-icd-loader 1.2.148-1
lib32-wayland 1.18.0-2
lib32-xz 5.2.5-1
lib32-zlib 1.2.11-2
lib32-zstd 1.4.5-1
libaio 0.3.112-2
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.4.3-1
libass 0.14.0-2
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libblockdev 2.24-1
libbluray 1.2.0-3
libbsd 0.10.0-2
libbytesize 2.4-1
libcacard 2.7.0-2
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.38-1
libcap-ng 0.7.10-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libconfig 1.7.2-3
libcpuid 0.5.0-1
libcroco 0.6.13-2
libcups 2.3.3-2
libdaemon 0.14-5
libdatrie 0.2.12-2
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdca 0.0.7-1
libdiscid 0.6.2-3
libdrm 2.4.102-1
libdvbpsi 1:1.3.3-2
libdvdread 6.1.1-1
libebml 1.4.0-1
libedit 20191231_3.1-1
libelf 0.180-1
libepoxy 1.5.4-2
libev 4.33-1
libevdev 1.9.1-1
libevent 2.1.12-1
libewf 20140608-6
libexif 0.6.22-1
libffi 3.3-3
libfilezilla 0.19.3-2
libfontenc 1.1.4-3
libgcrypt 1.8.6-1
libgdm 3.36.3-3
libgee 0.20.3-2
libglvnd 1.3.2-1
libgnomekbd 3.26.1+2+g8d02ebd-2
libgovirt 0.3.7-1
libgpg-error 1.38-1
libgudev 233-2
libguestfs 1.42.0-4
libgusb 0.3.5-1
libgweather 3.36.1-1
libibus 1.5.22+8+gf591381e-1
libical 3.0.8-2
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.36-1
libidn2 2.3.0-1
libiec61883 1.2.0-6
libimobiledevice 1.3.0-1
libindicator-gtk3 12.10.1-9
libinput 1.15.6-1
libjpeg-turbo 2.0.5-1
libksba 1.4.0-1
libldap 2.4.50-2
libldm 0.2.4.r20.a856552-1
liblouis 3.14.0-2
liblqr 0.4.2-3
libluv 1.36.0-1
libmad 0.15.1b-9
libmatroska 1.6.2-1
libmaxminddb 1.4.3-1
libmfx 20.2.1-1
libmicrohttpd 0.9.71-1
libmm-glib 1.14.0-1
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.1.0-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.19-1
libmpeg2 0.5.1-7
libndp 1.7-2
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-4
libnfs 4.0.0-4
libnftnl 1.1.7-1
libnghttp2 1.41.0-1
